"time","outputs"
0.066,9.807954572116779 0.6592819449801324 0 0
0.067,9.806751356262721 0.6692482276346289 0 0
0.068,9.805393532809951 0.6792134713574379 0 0
0.06900000000000001,9.80387262301033 0.6891776604120794 0 0
0.07000000000000001,9.802180310101416 0.6991407790637388 0 0
0.07100000000000001,9.800308447529613 0.7091028115792919 0 0
0.07200000000000001,9.798249067005331 0.7190637422273294 0 0
0.073,9.795994386382237 0.7290235552781821 0 0
0.074,9.793536817352777 0.738982235003946 0 0
0.075,9.790868972952431 0.7489397656785064 0 0
0.076,9.78798367486524 0.7588961315775631 0 0
0.077,9.784873960523434 0.7688513169786554 0 0
0.078,9.78153308999414 0.7788053061611867 0 0
0.079,9.777954552646364 0.7887580834064494 0 0
0.08,9.774132073591693 0.7987096329976497 0 0
0.081,9.770059619892335 0.8086599392199325 0 0
0.082,9.765731406530382 0.818608986360406 0 0
0.083,9.76114190213241 0.8285567587081668 0 0
0.08400000000000001,9.756285834443755 0.8385032405543246 0 0
0.08500000000000001,9.75115819554707 0.8484484161920268 0 0
0.08600000000000001,9.74575424682001 0.8583922699164837 0 0
0.08700000000000001,9.740069523627151 0.8683347860249928 0 0
0.08799999999999999,9.734099839741527 0.878275948816964 0 0
0.089,9.727841291491393 0.8882157425939446 0 0
0.09,9.721290261628146 0.8981541516596434 0 0
0.091,9.714443422911584 0.9080911603199558 0 0
0.092,9.707297741408944 0.918026752882989 0 0
0.093,9.699850479504494 0.9279609136590858 0 0
0.094,9.692099198616695 0.9378936269608507 0 0
0.095,9.684041761620231 0.9478248771031734 0 0
0.096,9.675676334970552 0.9577546484032544 0 0
0.097,9.667001390528819 0.9676829251806295 0 0
0.098,9.65801570708544 0.9776096917571945 0 0
0.099,9.648718371580697 0.9875349324572299 0 0
0.1,9.639108780021283 0.997458631607426 0 0
0.101,9.629186638091802 1.007380773536907 0 0
0.102,9.618951961460672 1.017301342577257 0 0
0.103,9.608405075780093 1.027220323062543 0 0
0.104,9.597546616380109 1.037137699329341 0 0
0.105,9.586377527657048 1.04705345571676 0 0
0.106,9.574899062156938 1.056967576566467 0 0
0.107,9.563112779354835 1.066880046222713 0 0
0.108,9.551020544131228 1.076790849032354 0 0
0.109,9.538624524947053 1.08669996934488 0 0
0.11,9.525927191719102 1.096607391512439 0 0
0.111,9.512931313397935 1.106513099889857 0 0
0.112,9.49963995525067 1.116417078834669 0 0
0.113,9.486056475851351 1.126319312707141 0 0
0.114,9.47218452378185 1.136219785870294 0 0
0.115,9.458028034046565 1.146118482689928 0 0
0.116,9.443591224204447 1.156015387534652 0 0
0.117,9.428878590222181 1.165910484775901 0 0
0.118,9.413894902052613 1.175803758787965 0 0
0.119,9.398645198942774 1.185695193948015 0 0
0.12,9.383134784476143 1.195584774636125 0 0
0.121,9.367369221354046 1.205472485235297 0 0
0.122,9.351354325921328 1.215358310131486 0 0
0.123,9.335096162441701 1.225242233713625 0 0
0.124,9.31860103712844 1.23512424037365 0 0
0.125,9.301875491936279 1.245004314506523 0 0
0.126,9.284926298120677 1.254882440510259 0 0
0.127,9.267760449570773 1.264758602785949 0 0
0.128,9.250385155922633 1.274632785737783 0 0
0.129,9.232807835459578 1.28450497377308 0 0
0.13,9.215036107806593 1.294375151302307 0 0
0.131,9.197077786426044 1.304243302739107 0 0
0.132,9.178940870922085 1.314109412500321 0 0
0.133,9.16063353916137 1.323973465006016 0 0
0.134,9.142164139217842 1.333835444679505 0 0
0.135,9.12354118114953 1.343695335947378 0 0
0.136,9.104773328615504 1.35355312323952 0 0
0.137,9.085869390341225 1.363408790989139 0 0
0.138,9.066838311440733 1.37326232363279 0 0
0.139,9.04768916460424 1.383113705610401 0 0
0.14,9.028431141159803 1.392962921365295 0 0
0.141,9.009073542017932 1.402809955344216 0 0
0.142,8.989625768508025 1.412654791997352 0 0
0.143,8.970097313115728 1.422497415778364 0 0
0.144,8.9504977501303 1.432337811144404 0 0
0.145,8.930836726211272 1.442175962556145 0 0
0.146,8.911123950883661 1.452011854477804 0 0
0.147,8.891369186971156 1.461845471377164 0 0
0.148,8.871582240976688 1.471676797725602 0 0
0.149,8.851772953419895 1.481505817998112 0 0
0.15,8.831951189141019 1.49133251667333 0 0
0.151,8.812126827580794 1.501156878233555 0 0
0.152,8.792309753045911 1.510978887164782 0 0
0.153,8.772509844969694 1.520798527956716 0 0
0.154,8.752736968177574 1.530615785102805 0 0
0.155,8.733000963166974 1.54043064310026 0 0
0.156,8.713311636411202 1.55024308645008 0 0
0.157,8.693678750696916 1.560053099657078 0 0
0.158,8.674112015504702 1.569860667229904 0 0
0.159,8.654621077442251 1.57966577368107 0 0
0.16,8.635215510739576 1.589468403526975 0 0
0.161,8.615904807815671 1.599268541287928 0 0
0.162,8.596698369925884 1.609066171488174 0 0
0.163,8.577605497899258 1.618861278655917 0 0
0.164,8.558635382974989 1.628653847323347 0 0
0.165,8.539797097747016 1.63844386202666 0 0
0.166,8.521099587225706 1.648231307306087 0 0
0.167,8.502551660025437 1.658016167705916 0 0
0.168,8.484161979686796 1.667798427774518 0 0
0.169,8.465939056141927 1.677578072064367 0 0
0.17,8.447891237331477 1.687355085132071 0 0
0.171,8.430026700981408 1.697129451538392 0 0
0.172,8.412353446547773 1.706901155848271 0 0
0.173,8.394879287337433 1.716670182630853 0 0
0.174,8.37761184281247 1.726436516459511 0 0
0.175,8.360558531085896 1.736200141911871 0 0
0.176,8.343726561616066 1.745961043569835 0 0
0.177,8.327122928107006 1.755719206019609 0 0
0.178,8.310754401621656 1.765474613851721 0 0
0.179,8.294627523914839 1.775227251661051 0 0
0.18,8.278748600992508 1.784977104046853 0 0
0.181,8.263123696903659 1.794724155612778 0 0
0.182,8.247758627771013 1.804468390966901 0 0
0.183,8.232658956066379 1.814209794721747 0 0
0.184,8.217829985136316 1.823948351494307 0 0
0.185,8.203276753983534 1.833684045906072 0 0
0.186,8.18900403230916 1.843416862583051 0 0
0.187,8.175016315820763 1.853146786155798 0 0
0.188,8.161317821810776 1.862873801259436 0 0
0.189,8.147912485009686 1.87259789253368 0 0
0.19,8.13480395371805 1.882319044622863 0 0
0.191,8.121995586221205 1.892037242175959 0 0
0.192,8.109490447490165 1.901752469846607 0 0
0.193,8.097291306171986 1.911464712293137 0 0
0.194,8.085400631872565 1.921173954178592 0 0
0.195,8.073820592734545 1.930880180170754 0 0
0.196,8.06255305331273 1.940583374942167 0 0
0.197,8.05159957274909 1.950283523170163 0 0
0.198,8.040961403249185 1.959980609536883 0 0
0.199,8.030639488861471 1.969674618729304 0 0
0.2,8.020634464560731 1.979365535439262 0 0
0.201,8.010946655636515 1.989053344363478 0 0
0.202,8.001576077387195 1.998738030203579 0 0
0.203,7.992522435119945 2.008419577666123 0 0
0.204,7.983785124456626 2.018097971462626 0 0
0.205,7.975363231945312 2.027773196309583 0 0
0.206,7.967255535976805 2.037445236928493 0 0
0.207,7.959460508005271 2.047114078045885 0 0
0.208,7.951976314071784 2.056779704393337 0 0
0.209,7.944800816629263 2.066442100707506 0 0
0.21,7.93793157666701 2.076101251730151 0 0
0.211,7.931365856132757 2.085757142208153 0 0
0.212,7.92510062064982 2.095409756893543 0 0
0.213,7.919132542526684 2.105059080543526 0 0
0.214,7.913458004056057 2.114705097920501 0 0
0.215,7.908073101100118 2.12434779379209 0 0
0.216,7.902973646958443 2.133987152931162 0 0
0.217,7.89815517651477 2.143623160115852 0 0
0.218,7.893612950658537 2.153255800129589 0 0
0.219,7.889341960976796 2.16288505776112 0 0
0.22,7.885336934711905 2.172510917804532 0 0
0.221,7.881592339980083 2.18213336505928 0 0
0.222,7.878102391245688 2.191752384330204 0 0
0.223,7.874861055045817 2.201367960427562 0 0
0.224,7.87186205595957 2.210980078167045 0 0
0.225,7.869098882816094 2.220588722369808 0 0
0.226,7.866564795135278 2.23019387786249 0 0
0.227,7.864252829794743 2.239795529477239 0 0
0.228,7.862155807916549 2.249393662051737 0 0
0.229,7.860266341966821 2.258988260429223 0 0
0.23,7.858576843061286 2.268579309458515 0 0
0.231,7.857079528469511 2.278166793994039 0 0
0.232,7.855766429310449 2.287750698895848 0 0
0.233,7.854629398431669 2.297331009029647 0 0
0.234,7.853660118464536 2.30690770926682 0 0
0.235,7.852850110047345 2.31648078448445 0 0
0.236,7.852190740208335 2.326050219565343 0 0
0.237,7.851673230900282 2.335615999398057 0 0
0.238,7.851288667678261 2.345178108876917 0 0
0.239,7.85102800851201 2.35473653290205 0 0
0.24,7.850882092724205 2.364291256379398 0 0
0.241,7.850841650045806 2.373842264220749 0 0
0.242,7.850897309779566 2.383389541343758 0 0
0.243,7.85103961006264 2.392933072671971 0 0
0.244,7.851259007219149 2.402472843134849 0 0
0.245,7.851545885193492 2.412008837667794 0 0
0.246,7.85189056505507 2.421541041212167 0 0
0.247,7.852283314565064 2.431069438715318 0 0
0.248,7.852714357795805 2.440594015130608 0 0
0.249,7.853173884793267 2.450114755417429 0 0
0.25,7.85365206127312 2.459631644541234 0 0
0.251,7.854139038340799 2.469144667473555 0 0
0.252,7.854624962225981 2.47865380919203 0 0
0.253,7.855099984021866 2.488159054680428 0 0
0.254,7.855554269419657 2.497660388928667 0 0
0.255,7.855978008428624 2.507157796932845 0 0
0.256,7.856361425072163 2.516651263695257 0 0
0.257,7.856694787050283 2.526140774224424 0 0
0.258,7.85696841535898 2.535626313535114 0 0
0.259,7.857172693857016 2.545107866648365 0 0
0.26,7.85729807877064 2.55458541859151 0 0
0.261,7.8573351081269 2.564058954398202 0 0
0.262,7.857274411106211 2.573528459108433 0 0
0.263,7.857106717304962 2.582993917768564 0 0
0.264,7.856822865899022 2.592455315431344 0 0
0.265,7.856413814699092 2.601912637155934 0 0
0.266,7.855870649088978 2.611365868007932 0 0
0.267,7.855184590837951 2.620814993059397 0 0
0.268,7.854347006778518 2.63025999738887 0 0
0.269,7.853349417341009 2.6397008660814 0 0
0.27,7.852183504936588 2.649137584228566 0 0
0.271,7.8508411221804 2.658570136928504 0 0
0.272,7.849314299946737 2.667998509285924 0 0
0.273,7.847595255248279 2.677422686412139 0 0
0.274,7.845676398931634 2.686842653425088 0 0
0.275,7.84355034318158 2.696258395449358 0 0
0.276,7.841209908826598 2.705669897616205 0 0
0.277,7.838648132438506 2.715077145063583 0 0
0.278,7.835858273219161 2.724480122936165 0 0
0.279,7.832833819667448 2.733878816385366 0 0
0.28,7.829568496019979 2.743273210569364 0 0
0.281,7.826056268459137 2.752663290653131 0 0
0.282,7.822291351082343 2.762049041808447 0 0
0.283,7.818268211626649 2.77143044921393 0 0
0.284,7.813981576943026 2.780807498055057 0 0
0.285,7.809426438214911 2.790180173524189 0 0
0.286,7.804598055915904 2.799548460820591 0 0
0.287,7.799491964501686 2.80891234515046 0 0
0.288,7.794103976831551 2.818271811726943 0 0
0.289,7.788430188315176 2.827626845770165 0 0
0.29,7.782466980780542 2.836977432507251 0 0
0.291,7.776211026059195 2.846323557172347 0 0
0.292,7.769659289285286 2.855665205006649 0 0
0.293,7.762809031905166 2.865002361258417 0 0
0.294,7.75565781439454 2.874335011183009 0 0
0.295,7.748203498680511 2.883663140042895 0 0
0.296,7.740444250266121 2.892986733107688 0 0
0.297,7.732378540055291 2.902305775654161 0 0
0.298,7.724005145876363 2.911620252966274 0 0
0.299,7.715323153702735 2.920930150335196 0 0
0.3,7.706331958569384 2.930235453059328 0 0
0.301,7.697031265184386 2.939536146444327 0 0
